DATE,MEASURE_NAME,OBS_VALUE,Temp,Implied_date,Geo
2008-01-01,Claimant count,100,-01,2008-01-01,Herefordshire
2009-12-01,Claimant count,179.86798679867985,-01,2009-12-01,Herefordshire
2009-11-01,Claimant count,177.55775577557756,-01,2009-11-01,Herefordshire
2009-10-01,Claimant count,186.7986798679868,-01,2009-10-01,Herefordshire
2009-09-01,Claimant count,198.01980198019803,-01,2009-09-01,Herefordshire
2009-08-01,Claimant count,201.98019801980197,-01,2009-08-01,Herefordshire
2009-07-01,Claimant count,198.34983498349834,-01,2009-07-01,Herefordshire
2009-06-01,Claimant count,201.65016501650163,-01,2009-06-01,Herefordshire
2009-05-01,Claimant count,201.32013201320134,-01,2009-05-01,Herefordshire
2009-04-01,Claimant count,200.33003300330034,-01,2009-04-01,Herefordshire
2009-03-01,Claimant count,202.97029702970298,-01,2009-03-01,Herefordshire
2009-02-01,Claimant count,194.71947194719473,-01,2009-02-01,Herefordshire
2009-01-01,Claimant count,167.986798679868,-01,2009-01-01,Herefordshire
2010-12-01,Claimant count,151.8151815181518,-01,2010-12-01,Herefordshire
2010-11-01,Claimant count,148.5148514851485,-01,2010-11-01,Herefordshire
2010-10-01,Claimant count,156.1056105610561,-01,2010-10-01,Herefordshire
2010-09-01,Claimant count,157.75577557755776,-01,2010-09-01,Herefordshire
2010-08-01,Claimant count,161.3861386138614,-01,2010-08-01,Herefordshire
2010-07-01,Claimant count,161.7161716171617,-01,2010-07-01,Herefordshire
2010-06-01,Claimant count,166.66666666666669,-01,2010-06-01,Herefordshire
2010-05-01,Claimant count,173.26732673267327,-01,2010-05-01,Herefordshire
2010-04-01,Claimant count,186.7986798679868,-01,2010-04-01,Herefordshire
2010-03-01,Claimant count,194.3894389438944,-01,2010-03-01,Herefordshire
2010-02-01,Claimant count,204.95049504950495,-01,2010-02-01,Herefordshire
2010-01-01,Claimant count,199.66996699669969,-01,2010-01-01,Herefordshire
2011-12-01,Claimant count,176.23762376237624,-01,2011-12-01,Herefordshire
2011-11-01,Claimant count,175.24752475247524,-01,2011-11-01,Herefordshire
2011-10-01,Claimant count,176.23762376237624,-01,2011-10-01,Herefordshire
2011-09-01,Claimant count,179.86798679867985,-01,2011-09-01,Herefordshire
2011-08-01,Claimant count,184.8184818481848,-01,2011-08-01,Herefordshire
2011-07-01,Claimant count,175.9075907590759,-01,2011-07-01,Herefordshire
2011-06-01,Claimant count,167.65676567656766,-01,2011-06-01,Herefordshire
2011-05-01,Claimant count,174.25742574257427,-01,2011-05-01,Herefordshire
2011-04-01,Claimant count,177.55775577557756,-01,2011-04-01,Herefordshire
2011-03-01,Claimant count,179.20792079207922,-01,2011-03-01,Herefordshire
2011-02-01,Claimant count,184.4884488448845,-01,2011-02-01,Herefordshire
2011-01-01,Claimant count,174.91749174917493,-01,2011-01-01,Herefordshire
2012-12-01,Claimant count,166.996699669967,-01,2012-12-01,Herefordshire
2012-11-01,Claimant count,171.6171617161716,-01,2012-11-01,Herefordshire
2012-10-01,Claimant count,176.23762376237624,-01,2012-10-01,Herefordshire
2012-09-01,Claimant count,178.54785478547853,-01,2012-09-01,Herefordshire
2012-08-01,Claimant count,183.16831683168317,-01,2012-08-01,Herefordshire
2012-07-01,Claimant count,181.84818481848183,-01,2012-07-01,Herefordshire
2012-06-01,Claimant count,178.87788778877888,-01,2012-06-01,Herefordshire
2012-05-01,Claimant count,183.4983498349835,-01,2012-05-01,Herefordshire
2012-04-01,Claimant count,191.08910891089107,-01,2012-04-01,Herefordshire
2012-03-01,Claimant count,203.6303630363036,-01,2012-03-01,Herefordshire
2012-02-01,Claimant count,206.2706270627063,-01,2012-02-01,Herefordshire
2012-01-01,Claimant count,199.33993399339934,-01,2012-01-01,Herefordshire
2013-12-01,Claimant count,120.79207920792079,-01,2013-12-01,Herefordshire
2013-11-01,Claimant count,123.43234323432344,-01,2013-11-01,Herefordshire
2013-10-01,Claimant count,130.03300330033002,-01,2013-10-01,Herefordshire
2013-09-01,Claimant count,141.58415841584159,-01,2013-09-01,Herefordshire
2013-08-01,Claimant count,151.15511551155117,-01,2013-08-01,Herefordshire
2013-07-01,Claimant count,157.0957095709571,-01,2013-07-01,Herefordshire
2013-06-01,Claimant count,157.0957095709571,-01,2013-06-01,Herefordshire
2013-05-01,Claimant count,166.66666666666669,-01,2013-05-01,Herefordshire
2013-04-01,Claimant count,177.22772277227722,-01,2013-04-01,Herefordshire
2013-03-01,Claimant count,186.13861386138615,-01,2013-03-01,Herefordshire
2013-02-01,Claimant count,190.75907590759076,-01,2013-02-01,Herefordshire
2013-01-01,Claimant count,179.86798679867985,-01,2013-01-01,Herefordshire
2014-12-01,Claimant count,66.996699669967,-01,2014-12-01,Herefordshire
2014-11-01,Claimant count,64.68646864686468,-01,2014-11-01,Herefordshire
2014-10-01,Claimant count,72.93729372937293,-01,2014-10-01,Herefordshire
